City Name,Cloudiness,Humidity,Lattitude,Longitude,Windspeed,temperature
Hithadhoo,87,74,-0.6,73.08,7.61,82.63
New Norfolk,75,66,-42.78,147.06,5.82,50.25
Mahebourg,75,60,-20.41,57.7,12.75,71.29
Isangel,20,88,-19.55,169.27,10.42,68.0
Dikson,100,96,73.51,80.55,10.58,41.77
Tete,0,45,-16.16,33.59,6.93,82.4
Sitka,6,43,37.17,-99.65,25.01,92.05
Nikolskoye,75,82,59.7,30.79,8.95,63.82
Jamestown,44,85,-33.21,138.6,2.1,38.35
Diego de Almagro,0,24,-26.39,-70.05,10.29,81.73
Cape Town,20,71,-33.93,18.42,3.36,52.43
Ostrovnoy,96,90,68.05,39.51,12.88,43.21
Praia,75,44,-20.25,-43.81,5.82,75.2
Ahipara,73,100,-35.17,173.16,13.76,44.01
Komsomolskiy,90,92,67.55,63.78,6.58,38.35
Torbay,20,43,47.66,-52.73,8.05,70.92
Karratha,58,82,-20.74,116.85,2.44,55.63
Hobyo,100,78,5.35,48.53,26.69,76.87
Mumford,62,80,5.26,-0.76,7.52,76.15
Kattivakkam,40,79,13.22,80.32,6.93,85.39
Ormond Beach,40,74,29.29,-81.06,8.05,88.83
Ushuaia,75,86,-54.81,-68.31,5.82,40.23
Griffith,0,86,-34.29,146.06,3.36,33.06
Busselton,31,61,-33.64,115.35,11.32,40.28
Punta Arenas,20,60,-53.16,-70.91,29.97,42.84
Bethel,90,87,60.79,-161.76,5.82,52.39
Jacareacanga,0,49,-6.22,-57.76,5.82,93.2
Yellowknife,75,62,62.45,-114.38,13.87,59.0
Pisco,90,30,-13.71,-76.2,8.05,67.37
Half Moon Bay,5,73,37.46,-122.43,5.82,79.36
Guerrero Negro,0,91,27.97,-114.04,5.91,72.01
Butaritari,100,69,3.07,172.79,9.46,84.97
Rikitea,6,63,-23.12,-134.97,11.18,68.77
Havelock,20,58,34.88,-76.9,8.05,81.7
Cherskiy,83,85,68.75,161.3,1.66,44.47
Vermilion,75,76,53.35,-110.85,14.99,55.4
Puerto Ayora,20,61,-0.74,-90.35,14.99,76.33
Chokurdakh,100,88,70.62,147.9,10.29,40.69
Petropavlovka,100,98,50.61,105.32,5.77,41.23
At-Bashi,28,42,41.17,75.81,2.59,55.27
Albany,20,38,42.65,-73.75,4.7,74.48
Ibatiba,93,70,-20.23,-41.51,4.9,63.37
Ponta do Sol,17,35,-20.63,-46.0,7.52,77.77
Kandrian,86,97,-6.21,149.55,2.39,72.01
Gornopravdinsk,100,99,60.06,69.92,5.08,55.09
Castro,40,65,-42.48,-73.76,17.22,46.4
Kapaa,75,74,22.08,-159.32,19.46,81.27
Atuona,26,72,-9.8,-139.03,18.72,79.03
Mataura,87,88,-46.19,168.86,5.01,37.99
Port Elizabeth,90,60,39.31,-74.98,12.75,71.28
Cabo San Lucas,75,66,22.89,-109.91,17.22,90.61
Bintulu,75,94,3.17,113.03,3.36,75.07
Talnakh,90,100,69.49,88.39,13.42,50.0
Longyearbyen,20,69,78.22,15.63,6.93,39.2
Avarua,98,83,-21.21,-159.78,5.82,71.6
Ribeira Grande,75,94,38.52,-28.7,10.29,73.4
The Pas,90,77,53.82,-101.24,6.93,62.6
Andra,100,76,62.52,65.89,10.11,44.65
Antsohihy,3,65,-14.88,47.99,22.53,76.87
Quang Ngai,100,93,15.12,108.8,2.68,71.11
Quelimane,0,88,-17.88,36.89,5.82,71.6
Port Alfred,92,75,-33.59,26.89,5.99,63.0
Pangnirtung,90,71,66.15,-65.72,10.29,51.8
Nanortalik,1,55,60.14,-45.24,6.24,46.99
Ascoli Piceno,99,82,42.85,13.58,6.93,70.29
Vestmannaeyjar,90,93,63.44,-20.27,23.04,51.8
Innisfail,10,95,-17.52,146.03,4.25,62.47
Otradnoye,75,82,59.77,30.8,8.95,63.59
Kavaratti,100,84,10.57,72.64,26.87,79.75
Katsuura,75,88,33.93,134.5,6.93,71.08
Port Antonio,20,59,18.18,-76.45,25.28,89.6
Namibe,2,85,-15.19,12.15,8.95,68.23
Hat Yai,40,100,7.0,100.46,1.32,75.2
Barabai,96,88,-2.59,115.38,2.24,74.17
Tutoia,0,62,-2.76,-42.27,16.11,86.0
Khatanga,100,82,71.98,102.47,5.86,55.45
Kruisfontein,78,72,-34.0,24.73,17.94,54.37
Georgetown,40,66,6.8,-58.16,13.87,90.75
Andilamena,27,88,-17.01,48.57,7.56,59.59
Mugumu,97,39,-1.84,34.67,5.53,75.61
Hilo,90,83,19.71,-155.08,3.36,73.35
Souillac,0,42,45.6,-0.6,6.93,82.53
Hobart,75,66,-42.88,147.33,5.82,50.25
Leningradskiy,100,99,69.38,178.42,11.68,45.73
Rudsar,40,78,37.14,50.29,6.93,78.64
Constitucion,40,50,23.99,-104.67,2.24,76.69
Concepcion del Oro,21,42,24.63,-101.42,1.01,73.81
Takoradi,17,77,4.89,-1.75,7.96,77.23
East London,40,82,-33.02,27.91,11.41,60.8
Tommot,0,93,58.97,126.27,1.52,46.63
Vaini,52,89,15.34,74.49,2.51,75.97
Sokolo,98,74,14.74,-6.12,8.48,81.91
Hermanus,92,76,-34.42,19.24,20.11,53.33
Aksarka,99,76,66.56,67.8,6.62,41.23
Christchurch,66,86,-43.53,172.64,5.82,35.53
Huarmey,84,89,-10.07,-78.15,10.71,59.05
Faanui,52,77,-16.48,-151.75,14.83,77.95
Catuday,50,81,16.29,119.81,12.19,83.35
Santa Lucia,0,69,41.98,12.66,2.24,75.88
Cidreira,48,50,-30.17,-50.22,3.44,72.01
Kaoma,55,31,-14.8,24.8,1.7,70.03
Codrington,75,93,-28.95,153.24,6.93,53.06
Stepnyak,100,89,52.83,70.79,11.01,57.79
Saint-Pierre,0,32,48.95,4.24,4.7,77.61
Buchach,0,72,49.06,25.39,11.05,74.14
Sarahan,90,85,31.51,77.79,2.26,59.41
Aklavik,75,87,68.22,-135.01,5.82,48.2
Mar del Plata,20,20,-46.43,-67.52,35.66,51.13
Otaki,75,94,35.95,138.94,5.82,71.53
Rio Grande,0,64,-32.03,-52.1,4.88,68.5
Kaitangata,37,76,-46.28,169.85,1.99,39.0
Arys,0,33,42.43,68.8,2.24,73.4
Porto Novo,0,38,-23.68,-45.44,4.7,77.0
Xuddur,30,54,4.12,43.89,19.06,79.21
Riverton,1,37,43.02,-108.38,4.7,65.88
Dawson Creek,20,54,55.76,-120.23,11.41,57.9
Jinchang,97,40,38.52,102.19,5.75,65.71
Khash,0,15,28.22,61.21,8.84,65.35
Baherden,0,14,38.44,57.43,2.15,72.19
Marihatag,100,89,8.8,126.3,2.86,72.91
Praia da Vitoria,75,73,38.73,-27.07,3.67,73.4
Saint-Philippe,1,47,45.36,-73.48,3.36,78.04
Plettenberg Bay,100,69,-34.05,23.37,7.58,55.27
Victoria,75,94,5.28,115.24,14.56,77.0
Ballina,75,93,54.11,-9.15,8.05,58.87
Port Hedland,40,100,-20.31,118.58,9.17,60.8
Kashima,90,94,33.1,130.1,14.99,73.53
Namatanai,93,83,-3.66,152.44,9.98,78.31
Kodiak,90,94,39.95,-94.76,6.93,70.27
Soe,93,82,57.91,26.05,8.05,64.65
Kempsey,40,100,-31.08,152.84,4.7,50.9
Brive-la-Gaillarde,100,61,45.16,1.53,1.52,79.77
Balikpapan,75,97,-1.24,116.86,4.25,72.37
Sao Filipe,24,72,14.9,-24.5,8.63,80.65
Saint-Joseph,0,65,43.56,6.97,3.36,78.84
Margate,75,66,-43.03,147.26,5.82,50.25
Octeville,90,100,49.63,-1.64,2.24,63.34
Mbandaka,26,73,0.05,18.26,0.54,74.53
Sambava,52,96,-14.27,50.17,3.11,64.27
Arraial do Cabo,40,68,-22.97,-42.02,11.41,72.54
Qujing,55,87,25.49,103.8,2.95,62.11
Gorontalo,28,89,0.54,123.06,5.73,72.37
Acari,12,37,-6.44,-36.64,25.77,90.55
Buchanan,75,83,5.88,-10.05,5.82,80.6
Mackenzie,1,62,55.34,-123.09,5.82,55.4
Dudinka,90,100,69.41,86.18,13.42,50.0
Baiyin,0,100,36.55,104.13,2.24,59.0
Taltal,0,40,-25.41,-70.49,6.78,71.65
Kinablangan,100,84,7.69,126.55,3.47,73.63
Upernavik,100,61,72.79,-56.15,6.13,40.15
Loule,20,73,37.14,-8.02,12.75,78.44
Anadyr,0,87,64.73,177.51,6.71,51.44
Lepley,47,85,54.31,42.86,6.64,55.63
Casper,75,34,42.87,-106.31,6.93,66.4
Bredasdorp,50,62,-34.53,20.04,9.17,55.18
Gladstone,40,93,-23.84,151.26,3.36,59.0
Vila Velha,0,62,-3.71,-38.6,16.11,84.2
Barrow,83,50,-38.31,-60.23,8.37,71.47
Schkeuditz,20,57,51.4,12.22,9.17,77.13
Padang,92,85,-0.92,100.36,13.6,80.29
Dwarka,40,79,28.58,77.04,4.7,89.15
Geraldton,90,72,49.72,-86.95,14.99,66.2
Faya,40,49,18.39,42.45,5.44,72.12
Lake City,1,18,38.03,-107.32,5.82,77.27
Takhli,100,88,15.26,100.34,5.84,80.01
Myitkyina,60,85,25.38,97.4,1.86,77.41
Dieppe,90,59,46.09,-64.74,6.93,65.59
Adrar,49,9,27.87,-0.29,6.93,109.4
Dickinson,75,43,46.88,-102.79,20.8,69.3
Thompson,90,100,55.74,-97.86,14.99,50.0
Maragogi,25,80,-9.01,-35.22,11.83,76.69
Laishevo,0,76,55.4,49.55,4.47,51.8
Saint-Denis,0,33,48.94,2.36,4.7,80.8
Princeton,1,49,40.35,-74.66,8.05,72.84
Teya,75,53,21.05,-89.07,11.41,95.65
Lata,87,93,30.78,78.62,1.66,41.77
Saskylakh,97,69,71.97,114.09,11.54,58.87
Carnarvon,0,31,-30.97,22.13,15.48,55.27
Acajutla,0,65,13.59,-89.83,4.79,84.25
Port Moresby,96,86,-9.47,147.16,16.71,76.15
Lompoc,1,64,34.64,-120.46,12.75,74.05
Trincomalee,82,71,8.58,81.23,9.48,79.75
Yumen,60,19,40.29,97.04,15.59,72.19
Arman,95,91,59.7,150.17,2.01,45.55
Pyaozerskiy,47,81,65.83,31.17,12.73,51.67
Tasiilaq,75,70,65.61,-37.64,16.11,46.4
Te Anau,65,87,-45.41,167.72,6.2,38.71
Narsaq,40,30,60.91,-46.05,6.93,57.2
Finschhafen,100,96,-6.6,147.85,3.78,63.37
Nishihara,75,94,35.74,139.53,5.82,73.92
Perth,0,62,-31.95,115.86,6.93,50.72
Hay River,75,82,60.82,-115.79,9.17,59.0
Ilulissat,20,60,69.22,-51.1,6.93,42.8
Vostok,0,87,46.45,135.83,3.91,52.57
Stege,48,68,54.99,12.28,2.24,69.73
Mago,25,96,53.27,140.15,3.53,53.65
Wyndham,38,82,51.61,-3.54,10.29,66.51
Kavieng,50,68,-2.57,150.8,1.68,83.35
Lulea,0,67,65.58,22.15,6.93,60.8
Lebu,72,83,8.96,38.73,1.45,58.69
Iralaya,40,62,15.0,-83.23,11.41,89.6
Luderitz,0,67,-26.65,15.16,25.28,60.8
Voyvozh,100,87,62.89,54.96,4.0,43.93
Russellville,75,62,35.28,-93.13,5.19,89.04
Umm Kaddadah,96,45,13.6,26.69,21.16,86.41
Haines Junction,100,76,60.75,-137.51,5.46,41.77
Bitung,48,93,1.44,125.19,3.78,68.41
Vila Franca do Campo,75,78,37.72,-25.43,6.93,71.28
Jiuquan,37,27,39.73,98.49,7.9,68.23
San Quintin,79,93,17.54,120.52,3.74,75.07
Nhulunbuy,21,94,-12.18,136.78,9.22,68.0
Morondava,0,74,-20.3,44.28,17.34,75.79
Ternate,90,88,14.29,120.72,3.36,77.65
Sal Rei,20,74,16.18,-22.92,9.17,85.3
Krasnooktyabrskiy,0,53,44.93,38.37,8.95,75.76
Shache,89,61,38.42,77.24,7.36,77.0
Mount Gambier,75,100,-37.83,140.78,9.17,41.0
Vao,93,86,59.1,26.19,9.22,62.11
Chiradzulu,81,41,-15.7,35.18,5.41,76.15
Makat,13,31,47.65,53.35,11.88,71.47
Fairbanks,1,93,64.84,-147.72,3.36,49.05
Porto Nacional,20,14,-10.7,-48.41,3.36,98.6
Alyangula,0,93,-13.85,136.42,2.53,59.0
Tupancireta,99,87,-29.08,-53.84,10.38,60.49
Natitingou,20,74,10.31,1.38,4.7,78.8
Chuguyevka,24,97,44.17,133.87,3.76,55.81
Powassan,75,50,46.08,-79.36,11.41,75.54
Kirakira,100,90,-10.46,161.92,3.62,73.99
Nsanje,0,39,-16.92,35.26,7.94,77.95
Bathsheba,75,83,13.22,-59.52,21.92,77.0
Midland,1,10,32.0,-102.08,11.41,107.28
Hasaki,75,94,35.73,140.83,6.93,71.71
Benguela,0,82,-12.58,13.4,8.84,69.85
Marsa Matruh,0,78,31.35,27.25,6.93,82.4
Fez,75,57,34.03,-5.02,11.41,77.0
Bilma,27,30,18.69,12.92,4.74,94.87
Sabha,0,19,27.03,14.43,6.98,89.65
Norman Wells,75,76,65.28,-126.83,5.82,53.6
Macapa,20,55,0.05,-51.07,12.75,91.4
Tura,96,88,64.27,100.22,3.89,49.69
Pandan,100,76,11.72,122.09,10.22,81.37
Lavrentiya,99,81,65.58,-170.99,7.47,52.03
Auki,58,84,12.18,6.51,6.58,75.79
Fortuna,1,56,40.6,-124.16,8.05,73.13
Fort Smith,1,52,35.39,-94.42,5.82,91.09
Port Macquarie,40,100,-31.43,152.91,4.7,51.21
Provideniya,100,93,64.42,-173.23,5.61,49.15
Ilo,75,82,-17.65,-71.34,9.17,64.4
Bluff,18,81,-23.58,149.07,5.21,57.43
Batticaloa,98,65,7.71,81.69,1.21,79.21
Jawhar,100,91,19.91,73.23,1.63,75.07
Srandakan,68,88,-7.94,110.25,7.85,73.99
Catende,33,64,-8.67,-35.73,15.57,75.97
Ginda,75,90,30.69,78.49,2.89,60.85
Hofn,90,87,64.25,-15.21,23.04,51.8
Fort Nelson,20,59,58.81,-122.69,5.82,60.8
Sorland,75,93,67.67,12.69,9.17,57.2
Kaniama,82,49,-7.57,24.18,3.04,77.59
Kyren,54,90,51.68,102.13,2.93,36.01
Barra do Garcas,59,16,-15.89,-52.26,4.52,98.29
Rome,0,69,41.89,12.48,2.24,76.62
Sergeyevka,2,85,53.88,67.42,13.33,53.83
Erzin,0,78,36.95,36.2,14.99,81.52
Antofagasta,20,72,-23.65,-70.4,10.29,63.0
Diffa,43,44,13.32,12.61,1.12,88.75
Nzega,20,36,-4.22,33.19,7.65,77.41
Yulara,0,43,-25.24,130.99,8.05,51.8
Saurimo,56,46,-9.66,20.4,2.98,71.29
Sampit,87,98,-2.54,112.95,1.77,73.27
Ughelli,97,91,5.49,6.0,4.76,75.07
Scarborough,0,53,54.28,-0.41,3.36,71.76
Dubrajpur,4,87,23.79,87.38,6.93,80.47
Charters Towers,12,92,-20.07,146.27,3.31,56.53
Severo-Kurilsk,100,97,50.68,156.12,1.36,47.71
San Joaquin,100,91,10.59,122.14,9.51,76.15
Ipaussu,5,31,-23.06,-49.63,6.6,85.69
Bud,0,60,62.91,6.91,3.36,69.13
Erenhot,0,50,43.65,111.97,7.2,63.19
Klaksvik,87,100,62.23,-6.59,14.99,51.8
Baghdad,0,25,33.3,44.38,6.93,96.8
Pevek,99,97,69.7,170.27,12.46,40.15
Rawson,65,31,-43.3,-65.11,24.74,58.51
Adwa,81,83,14.16,38.9,5.28,64.09
Oussouye,40,79,12.49,-16.54,6.93,84.2
Kamaishi,54,98,39.28,141.86,1.14,55.99
Kimbe,69,94,-5.56,150.15,1.9,72.55
Karanja,100,95,20.48,77.49,10.85,71.29
Ponta Delgada,75,78,37.73,-25.67,6.93,71.26
Glendive,90,63,47.11,-104.71,18.34,63.97
Maracaju,75,15,-21.61,-55.17,3.74,94.15
Campobasso,67,68,41.56,14.66,0.78,78.06
Urucara,32,26,-2.54,-57.76,5.06,99.37
Bandarbeyla,55,73,9.49,50.81,23.2,77.41
Kozlovka,20,81,55.84,48.25,8.95,52.68
Muroto,98,91,33.37,134.14,2.68,68.41
Truro,20,87,50.26,-5.05,5.82,61.47
Tres Arroyos,83,50,-38.38,-60.28,8.37,71.47
Palmer,40,93,-34.85,139.16,5.82,40.91
Veinticinco de Mayo,100,86,-27.38,-54.75,2.89,64.99
Marsh Harbour,100,71,26.54,-77.06,4.12,84.97
Douglas,90,87,58.28,-134.39,9.17,52.86
Sengiley,81,71,53.96,48.79,5.37,55.4
Talaya,0,87,55.79,84.89,4.47,50.0
Tucuman,0,6,-17.17,-70.89,12.64,75.43
Camacha,75,73,33.08,-16.33,10.29,72.61
Saint George,20,47,39.45,22.34,2.24,81.0
San Cristobal,59,40,14.68,-86.92,9.08,87.13
Boissevain,20,56,49.23,-100.06,16.11,68.31
Touros,40,65,-5.2,-35.46,17.22,82.4
Tuktoyaktuk,90,93,69.44,-133.03,8.05,46.4
Coahuayana,100,76,18.62,-100.35,2.35,82.81
Lorengau,97,86,-2.02,147.27,6.62,78.13
Paamiut,100,81,61.99,-49.67,24.92,42.31
Tarko-Sale,100,84,64.92,77.78,7.94,46.99
San Blas,90,69,21.54,-105.29,4.7,82.4
Batagay-Alyta,25,89,67.8,130.41,1.25,39.25
Borogontsy,2,63,62.67,131.17,4.0,50.05
Kalininsk,0,65,51.5,44.48,4.72,58.15
Airai,6,79,-8.93,125.41,4.41,64.81
Nurota,0,32,40.56,65.69,2.24,69.8
Agadez,40,66,16.97,7.99,6.93,83.28
Puerto Leguizamo,9,83,-0.19,-74.78,2.44,83.17
Clyde River,75,87,70.47,-68.59,12.75,44.6
Mwense,66,31,-10.39,28.7,4.85,75.79
Jackville,20,94,5.21,-4.42,8.05,77.0
Port Lincoln,1,65,-34.72,135.86,9.95,54.91
Tuatapere,100,88,-46.13,167.69,5.01,37.99
Sola,15,37,-3.17,33.8,11.14,75.79
Nouadhibou,40,83,20.93,-17.03,9.17,78.8
Broome,0,57,52.47,1.45,8.05,74.48
Gander,20,33,48.95,-54.61,8.05,77.0
Najran,40,15,17.54,44.22,6.93,87.8
Algiers,90,83,29.94,-90.04,8.05,83.34
Beloha,0,58,-25.17,45.06,5.32,68.05
Ambilobe,57,63,-13.19,49.05,14.52,73.63
El Alto,20,12,-16.5,-68.19,6.93,57.2
Mogzon,100,98,51.74,111.97,6.31,46.99
Thinadhoo,81,73,0.53,72.93,6.24,82.63
Laguna,20,70,16.17,-88.94,9.17,91.4
Chuy,100,89,-33.69,-53.46,3.76,58.87
Richards Bay,0,83,-28.77,32.06,5.97,68.95
Apiai,26,54,-24.51,-48.84,5.61,72.01
Aneho,20,83,6.23,1.6,12.75,78.8
Tarakan,86,89,3.3,117.63,8.37,77.05
Hambantota,20,100,6.12,81.12,4.7,77.0
Coihaique,90,99,-45.58,-72.07,3.36,37.4
Shaoguan,36,90,24.81,113.59,1.12,73.81
Chernukha,100,81,55.6,43.76,7.54,56.35
Grand Gaube,75,60,-20.01,57.66,12.75,71.38
Qaanaaq,100,94,77.48,-69.36,7.58,35.11
Durban,92,72,51.93,-101.44,10.33,66.07
La Ronge,90,88,55.1,-105.3,6.93,62.6
Lagoa,20,73,37.14,-8.45,12.75,78.39
Foz,100,1,43.57,-7.26,4.05,65.8
San Juan,1,11,-31.54,-68.53,4.41,69.49
Eyl,75,73,7.98,49.82,26.04,77.05
Taybad,0,14,34.74,60.78,11.07,68.77
Evensk,100,92,61.92,159.24,1.79,44.65
San Policarpo,100,87,12.18,125.51,13.38,75.61
Kahului,75,88,20.89,-156.47,6.93,74.79
Dunedin,15,51,-45.87,170.5,3.0,45.0
Haukipudas,0,82,65.17,25.5,8.05,55.69
Inhambane,0,88,-23.87,35.38,6.93,71.6
Teguldet,12,89,57.31,88.17,5.14,50.77
Mackay,75,58,53.65,-115.58,13.87,58.12
General Roca,40,48,-39.03,-67.58,17.38,60.8
San Pedro,83,78,-33.68,-59.66,9.1,67.69
Middle Island,1,17,40.88,-72.94,8.05,72.01
Prince Rupert,90,93,54.32,-130.32,8.05,57.2
Sibolga,99,74,1.74,98.78,4.29,82.09
Okha,0,93,53.59,142.95,12.1,54.19
Kieta,100,83,-6.22,155.63,3.65,77.95
Honiara,40,94,-9.43,159.96,4.03,73.4
Sistranda,0,60,63.73,8.83,10.29,68.0
Vung Tau,95,89,10.35,107.08,9.46,78.13
Iqaluit,90,93,63.75,-68.52,4.21,49.01
Plouzane,0,88,48.38,-4.62,9.17,63.01
Shetpe,81,40,44.14,52.16,11.52,75.43
Puerto Narino,40,62,-3.77,-70.38,3.36,89.6
Wellington,49,76,-41.29,174.78,21.92,45.0
Bambous Virieux,75,60,-20.34,57.76,12.75,71.31
Turukhansk,100,94,65.8,87.96,11.92,47.53
Monrovia,75,83,6.33,-10.8,5.82,80.6
Canon City,1,13,39.46,-117.13,2.04,80.6
Les Cayes,3,75,18.19,-73.75,18.39,84.25
Nizhniy Tsasuchey,59,86,50.52,115.13,4.97,53.11
Solnechnyy,0,94,50.72,136.64,0.74,54.55
Port Blair,100,84,11.67,92.75,22.28,81.19
Nemuro,24,85,43.32,145.57,6.44,59.95
Walvis Bay,0,85,-22.95,14.51,5.99,57.99
Luwuk,78,97,-0.95,122.79,4.94,59.23
Cockburn Town,59,82,21.46,-71.14,14.23,82.81
Samarai,100,94,-10.62,150.67,2.24,72.37
Elat,50,97,2.91,11.16,3.56,68.23
Leh,64,32,34.16,77.58,3.09,52.75
Miyako,90,94,33.63,130.94,14.99,73.54
College,1,93,64.86,-147.8,3.36,49.69
Gizo,0,69,31.8,34.94,6.93,78.53
Portland,1,40,43.66,-70.25,9.17,73.11
Tiksi,100,94,71.64,128.87,7.54,43.03
Sao Felix do Xingu,41,27,-6.64,-51.99,4.36,94.69
Shiyan,100,97,32.65,110.78,2.59,70.75
Pecos,1,12,31.42,-103.49,12.75,108.86
Mehamn,75,87,71.03,27.85,3.36,51.04
Naryan-Mar,96,80,67.67,53.09,4.0,39.43
Zihuatanejo,75,59,17.64,-101.55,11.41,93.2
Jonkoping,0,82,57.78,14.16,2.77,64.29
Kostino,89,53,41.7,25.3,6.93,81.36
Zhuhai,0,76,40.71,112.04,4.47,53.6
Klyuchi,40,46,52.25,79.17,14.83,70.93
Rodrigues Alves,75,59,-7.74,-72.65,5.82,91.4
Boa Vista,75,55,2.82,-60.67,8.05,89.6
Along,33,94,28.17,94.8,4.18,61.21
Grindavik,90,100,63.84,-22.43,16.11,51.8
Alihe,100,99,50.57,123.73,3.36,53.29
Tocopilla,35,87,-22.09,-70.2,3.13,57.07
Maniitsoq,95,68,65.42,-52.9,5.17,45.73
Planos,20,51,37.82,20.85,18.43,82.36
Saldanha,84,51,41.42,-6.55,5.73,74.71
Yatou,75,94,3.63,9.81,1.12,77.0
Qaqortoq,40,33,60.72,-46.03,4.7,57.2
Dorado,20,63,18.46,-66.27,19.46,89.35
Port Hardy,75,87,50.7,-127.42,4.7,55.4
Ca Mau,100,87,9.18,105.15,5.01,78.49
Itarema,0,37,-2.92,-39.92,16.91,89.47
Baillif,75,62,16.02,-61.75,13.87,87.8
Plyussa,100,79,58.42,29.37,6.02,63.01
Qena,0,30,26.16,32.72,4.7,93.2
Guapo,100,94,34.48,109.71,3.58,66.79
Batagay,3,92,67.65,134.64,2.1,45.73
Ayr,21,85,-19.58,147.4,1.5,55.99
Cabedelo,75,69,-6.97,-34.84,19.46,80.6
Moron,2,69,18.56,-74.26,3.87,84.25
Puerto Quijarro,40,40,-19.0,-57.72,6.93,90.52
Gushi,97,96,32.17,115.65,5.5,77.41
Tangjiazhuang,100,79,33.27,105.76,5.35,59.05
Bubaque,100,79,11.28,-15.83,13.67,80.11
Hervey Bay,90,100,-25.3,152.85,3.36,54.82
Durango,40,50,24.02,-104.67,2.24,76.69
Genhe,100,98,50.78,121.52,1.45,50.41
Salalah,75,88,17.01,54.1,6.93,80.6
Ponyri,0,71,52.32,36.3,2.24,57.2
Alofi,90,83,-19.06,-169.92,13.87,71.6
Atar,44,33,20.52,-13.05,13.38,95.95
Rongcheng,96,82,37.16,122.42,3.13,71.11
Alta Floresta,62,24,-9.87,-56.08,2.24,96.67
Tefe,40,62,-3.35,-64.71,8.05,89.6
Dharchula,59,83,29.85,80.53,3.49,54.91
Mildura,29,81,-34.18,142.16,5.82,41.09
Puerto Baquerizo Moreno,90,78,-0.9,-89.6,13.87,73.4
Cayenne,0,62,4.94,-52.33,10.29,89.6
Broken Hill,6,60,-31.97,141.45,5.82,39.2
Bastrop,75,59,32.78,-91.91,4.14,90.01
Mangan,13,83,27.5,88.54,2.26,59.23
Egvekinot,61,92,66.32,-179.17,6.17,49.15
